Date,Open,High,Low,Close,Vol
8/23/2012,39282000,40003000,40007000,39154000,38830
8/24/2012,39972000,37945000,40222000,37817000,94640
8/27/2012,38619000,39537000,39561000,38505000,42330
8/28/2012,38578000,38106000,38605000,37961000,41230
8/29/2012,39306000,38985000,39404000,38985000,41600
8/30/2012,39725000,39490000,39944000,39337000,39040
8/31/2012,39602000,39688000,39819000,39429000,33350
9/4/2012,40208000,39737000,40325000,39737000,29640
9/5/2012,39892000,40256000,40487000,39631000,45710
9/6/2012,39341000,39641000,39877000,39341000,33450
9/7/2012,39751000,39525000,39751000,39256000,33470
9/10/2012,38888000,39572000,39627000,38619000,48790
9/11/2012,38662000,38387000,38802000,38387000,35750
9/12/2012,38835000,38703000,39030000,38703000,32620
9/13/2012,39136000,38855000,39136000,38768000,37260
9/14/2012,39887000,39813000,40009000,39514000,46500
9/17/2012,40175000,40055000,40527000,40007000,38890
9/18/2012,39451000,40348000,40505000,39298000,41840
9/19/2012,39455000,39105000,39617000,39089000,44840
9/20/2012,38928000,39305000,39342000,38590000,58640
9/21/2012,39548000,39100000,39555000,39100000,101290
9/24/2012,39037000,39216000,39454000,39008000,27740
9/25/2012,39177000,39117000,39406000,39014000,23940
9/26/2012,39512000,39251000,39786000,39251000,23830
9/27/2012,39334000,39566000,39667000,39134000,28630
9/28/2012,39257000,39211000,39391000,39099000,37100
10/1/2012,38655000,39174000,39186000,38642000,29920
10/2/2012,38432000,38678000,38762000,38420000,26080
10/3/2012,38537000,38561000,38760000,38307000,36720
10/4/2012,38451000,38568000,38666000,38362000,25980
10/5/2012,38816000,38478000,38816000,38465000,27640
10/8/2012,39345000,38783000,39345000,38783000,35590
10/9/2012,39367000,39436000,39487000,39226000,38750
10/10/2012,39466000,39238000,39466000,39175000,37970
10/11/2012,39419000,39532000,39755000,39387000,45280
10/12/2012,39254000,39417000,39501000,39226000,55380
10/15/2012,39156000,39288000,39419000,39072000,36040
10/16/2012,39922000,39260000,39922000,39260000,41180
10/17/2012,39702000,39922000,40097000,39591000,59130
10/18/2012,39851000,39594000,39955000,39594000,34990
10/19/2012,39823000,39952000,40046000,39498000,52600
10/22/2012,39700000,39777000,39834000,39469000,45950
10/23/2012,39771000,39727000,39922000,39589000,35300
10/24/2012,39545000,39769000,39843000,39524000,34210
10/25/2012,38992000,39379000,39454000,38992000,43000
10/26/2012,39170000,39005000,39313000,38950000,22930
10/29/2012,39136000,39096000,39260000,39063000,29760
10/30/2012,38986000,39113000,39217000,38964000,23080
10/31/2012,38842000,38850000,39005000,38739000,57630
11/1/2012,38795000,38810000,38974000,38795000,46100
11/2/2012,37526000,37874000,38033000,37498000,59150
11/5/2012,37727000,37239000,37845000,37239000,30990
11/6/2012,37695000,37727000,37905000,37512000,46230
11/7/2012,38090000,37783000,38122000,37575000,31150
11/8/2012,38560000,38032000,38560000,38013000,23290
11/9/2012,38671000,38561000,38679000,38372000,24760
11/12/2012,38862000,38671000,38894000,38566000,41910
11/13/2012,38522000,38752000,38843000,38515000,28500
11/14/2012,38771000,38474000,38940000,38461000,23960
11/15/2012,38691000,38984000,39065000,38660000,28760
11/16/2012,38571000,38583000,38625000,38316000,22580
11/19/2012,38332000,38483000,38622000,38242000,22550
11/20/2012,38510000,38323000,38537000,38184000,24470
11/21/2012,38387000,38518000,38580000,38272000,21610
11/22/2012,38322000,38344000,38410000,38257000,18230
11/23/2012,38171000,38322000,38425000,38114000,21450
11/26/2012,37790000,38243000,38262000,37782000,22360
11/27/2012,37689000,37777000,37862000,37608000,18730
11/28/2012,37579000,37613000,37732000,37415000,29710
11/29/2012,37820000,37745000,37862000,37693000,15950
11/30/2012,37782000,38001000,38018000,37752000,45540
12/3/2012,37927000,37794000,37927000,37578000,21900
12/4/2012,38210000,37902000,38210000,37789000,29900
12/5/2012,38569000,38210000,38705000,38210000,40540
12/6/2012,38569000,38559000,38662000,38453000,36300
12/7/2012,38380000,38644000,38660000,38380000,33520
12/10/2012,38669000,38484000,38767000,38353000,44500
12/11/2012,38937000,38625000,38937000,38581000,40400
12/12/2012,39108000,38841000,39313000,38646000,47170
12/13/2012,39119000,39304000,39381000,39057000,44110
12/14/2012,39221000,39223000,39461000,39205000,43160
12/17/2012,39363000,39137000,39530000,39131000,67400
12/18/2012,39339000,39621000,39645000,39234000,52370
12/19/2012,39859000,39584000,39859000,39534000,72580
12/20/2012,39968000,39913000,40071000,39786000,82890
12/21/2012,39678000,39749000,40027000,39427000,76820
12/24/2012,39971000,39725000,40022000,39657000,73070
12/25/2012,40134000,40101000,40172000,39809000,50850
12/26/2012,40610000,39943000,40610000,39831000,59620
12/27/2012,40997000,40832000,41068000,40658000,79450
12/28/2012,41373000,40949000,41373000,40832000,84320
1/2/2013,41835000,41550000,41905000,41441000,64290
1/3/2013,41927000,42068000,42068000,41368000,99830
1/4/2013,42606000,41875000,42648000,41750000,64850
1/7/2013,43419000,42853000,43464000,42686000,78320
1/8/2013,44716000,43725000,44716000,43715000,121100
1/9/2013,44877000,44716000,45775000,44226000,134770
1/10/2013,46012000,44799000,46012000,44408000,79400
1/11/2013,46269000,46839000,46916000,46174000,75120
1/14/2013,45897000,45808000,46208000,45551000,69550
1/15/2013,46142000,45924000,46142000,45593000,88780
1/16/2013,46525000,46217000,47034000,46217000,96570
1/17/2013,45676000,46566000,46655000,45676000,96330
1/18/2013,45416000,45821000,45982000,45028000,84210
1/21/2013,44779000,45391000,45634000,44779000,58680
1/22/2013,44285000,44901000,45080000,44124000,67330
1/23/2013,44337000,44396000,44779000,44048000,50660
1/24/2013,45240000,44434000,45240000,44419000,49810
1/25/2013,46809000,45528000,46809000,45525000,86460
1/28/2013,47960000,47427000,48567000,47427000,107360
1/29/2013,48401000,47802000,48434000,47633000,88110
1/30/2013,48760000,48667000,49089000,48276000,83260
1/31/2013,47979000,48404000,48519000,47979000,80500
2/1/2013,48342000,47711000,48342000,47323000,76850
2/4/2013,48238000,48706000,48896000,48238000,56880
2/5/2013,47736000,48182000,48256000,47736000,63410
2/6/2013,48836000,47962000,48862000,47962000,65150
2/7/2013,49062000,49088000,49372000,48803000,73010
2/8/2013,49403000,49185000,49572000,48964000,60720
2/18/2013,49395000,49787000,49787000,49395000,69420
2/19/2013,49078000,49340000,49539000,49033000,104490
2/20/2013,49483000,48799000,49582000,48768000,78550
2/21/2013,47673000,49483000,49770000,47673000,123310
2/22/2013,47769000,48203000,48711000,47023000,107350
2/25/2013,48369000,48167000,48397000,47830000,49620
2/26/2013,46505000,48250000,48250000,46364000,93970
2/27/2013,46572000,46589000,46750000,45964000,71440
2/28/2013,47456000,46572000,47641000,46572000,53250
3/1/2013,47715000,47651000,48039000,47546000,55930
3/4/2013,46874000,47704000,47906000,46874000,74560
3/5/2013,46212000,46736000,46784000,46161000,59790
3/6/2013,47109000,46696000,47109000,46419000,35560
3/7/2013,46663000,47073000,47254000,46663000,46950
3/8/2013,47068000,46810000,47175000,46810000,31770
3/11/2013,47650000,47129000,47679000,46978000,56610
3/12/2013,47534000,47523000,47867000,47051000,60260
3/13/2013,47318000,47643000,47805000,47185000,50260
3/14/2013,47460000,47163000,47460000,47081000,46720
3/15/2013,48135000,47499000,48135000,47445000,74400
3/18/2013,47913000,48153000,48259000,47854000,49140
3/19/2013,48048000,47845000,48221000,47755000,35320
3/20/2013,48704000,48188000,48894000,48053000,52320
3/21/2013,49179000,48864000,49457000,48843000,57180
3/22/2013,48999000,49288000,50059000,48615000,54550
3/25/2013,49357000,49176000,49564000,48855000,38340
3/26/2013,48946000,49419000,49632000,48914000,47040
3/27/2013,49126000,48930000,49246000,48534000,38970
3/28/2013,49067000,49164000,49512000,48767000,45820
3/29/2013,49104000,48701000,49296000,48350000,38990
4/1/2013,50581000,49066000,50581000,48990000,55430
4/2/2013,50943000,50731000,51410000,50722000,70260
4/3/2013,50593000,50929000,51159000,50238000,57120
4/4/2013,49735000,50554000,50663000,49735000,52180
4/5/2013,50258000,50116000,50336000,49783000,48750
4/8/2013,50666000,50500000,50775000,50191000,52180
4/9/2013,51049000,50509000,51285000,50416000,60760
4/10/2013,49650000,51215000,51846000,49650000,69180
4/11/2013,50407000,50139000,50451000,49708000,52040
4/12/2013,49427000,50537000,50590000,49082000,52310
4/15/2013,48002000,49165000,49177000,47880000,54830
4/16/2013,47807000,47507000,47997000,46656000,58210
4/17/2013,48399000,48217000,48399000,47653000,30050
4/18/2013,47321000,48399000,48399000,47110000,38520
