TradingDate;Open;High;Low;Close;Volume
2021-01-08;116410000;117633000;116048000;116769000;80831000
2021-01-11;117647000;118645000;117500000;118489000;84585000
2021-01-12;119038000;119228000;117924000;119228000;71994000
2021-01-13;119732000;120082000;118318000;118605000;81929000
2021-01-14;118948000;119050000;117884000;118740000;77934000
2021-01-15;118884000;119774000;118884000;119420000;78311000
2021-01-18;119879000;120085000;119033000;119194000;74742000
2021-01-19;118991000;118991000;111717000;113100000;98619000
2021-01-20;113650000;114248000;109805000;113468000;83930000
2021-01-21;114686000;116421000;113266000;116421000;72192000
2021-01-22;116677000;117572000;116143000;116678000;75832000
2021-01-25;116420000;117218000;116280000;116605000;70724000
2021-01-26;116497000;116497000;112103000;113612000;78227000
2021-01-27;112241000;113299000;108886000;109717000;78570000
2021-01-28;104171000;105216000;102277000;102394000;76787000
2021-01-29;99833000;107611000;99833000;105661000;79739000
2021-02-01;105661000;107452000;103551000;103551000;63433000
2021-02-02;103695000;107553000;102936000;107553000;60262000
2021-02-03;108487000;111324000;108295000;111129000;70318000
2021-02-04;111297000;111788000;109885000;111219000;52341000
2021-02-05;111479000;112691000;111219000;112691000;52987000
2021-02-08;112706000;112706000;107510000;108318000;69660000
2021-02-09;109088000;111493000;107898000;111493000;51981000
2021-02-17;112746000;115578000;112746000;115578000;56803000
2021-02-18;115710000;117438000;114866000;117438000;61482000
2021-02-19;116065000;117818000;115760000;117350000;57828000
2021-02-22;117357000;118267000;116912000;117504000;63004000
2021-02-23;117457000;118432000;116832000;117764000;59827000
2021-02-24;118432000;118558000;115436000;116201000;60300000
2021-02-25;116997000;116997000;115574000;116543000;51043000
2021-02-26;114888000;116928000;114888000;116847000;55446000
2021-03-01;117693000;118682000;117445000;118617000;64338000
2021-03-02;119616000;119616000;118199000;118661000;57701000
2021-03-03;118473000;118918000;118025000;118695000;63167000
2021-03-04;119178000;119190000;115948000;116852000;67345000
2021-03-05;116419000;116956000;115560000;116869000;59484000
2021-03-08;118033000;118125000;116402000;116827000;65270000
2021-03-09;116096000;116642000;115094000;116197000;64143000
2021-03-10;116386000;117059000;115489000;117008000;72392000
2021-03-11;117008000;118373000;117008000;118173000;62910000
2021-03-12;118521000;118652000;117814000;118156000;62471000
2021-03-15;118389000;118606000;117880000;118456000;67696000
2021-03-16;118491000;118491000;117176000;117990000;68385000
2021-03-17;117864000;118609000;117626000;118609000;70109000
2021-03-18;119660000;120094000;119194000;120094000;62864000
2021-03-19;119547000;119967000;119196000;119405000;68090000
2021-03-22;120005000;120021000;118931000;119443000;70087000
2021-03-23;119028000;119147000;117710000;118345000;68372000
2021-03-24;116942000;117420000;115422000;116181000;75048000
2021-03-25;116441000;117076000;115444000;116310000;69073000
2021-03-26;116271000;116576000;113790000;116221000;67046000
2021-03-29;116965000;117577000;116578000;117568000;66095000
2021-03-30;117964000;118729000;117285000;118636000;78073000
2021-03-31;118636000;119645000;118636000;119144000;70308000
2021-04-01;119459000;121726000;119283000;121610000;67284000
2021-04-02;122576000;122829000;122107000;122445000;66189000
2021-04-05;124528000;124528000;122818000;123605000;69304000
2021-04-06;123337000;124463000;123114000;123996000;69406000
2021-04-07;123739000;124238000;123252000;124238000;72782000
2021-04-08;124238000;124640000;123226000;123489000;66451000
2021-04-09;123151000;123498000;122760000;123166000;73282000
2021-04-12;123679000;125245000;123235000;125245000;89031000
2021-04-13;126244000;126802000;124766000;124833000;103000000
2021-04-14;124090000;125587000;123301000;125587000;86196000
2021-04-15;126225000;126587000;124725000;124725000;80649000
2021-04-16;124506000;125461000;122714000;123871000;98688000
2021-04-19;124358000;126058000;123377000;126058000;81713000
2021-04-20;126774000;128632000;126128000;126828000;84360000
2021-04-22;126431000;127198000;122782000;122782000;77037000
2021-04-23;122718000;124853000;121615000;124853000;71652000
