Date;Open;High;Low;Close;Vol
2012-10-11;39419000;39532000;39755000;39387000;45280
2012-10-12;39254000;39417000;39501000;39226000;55380
2012-10-15;39156000;39288000;39419000;39072000;36040
2012-10-16;39922000;39260000;39922000;39260000;41180
2012-10-17;39702000;39922000;40097000;39591000;59130
2012-10-18;39851000;39594000;39955000;39594000;34990
2012-10-19;39823000;39952000;40046000;39498000;52600
2012-10-22;39700000;39777000;39834000;39469000;45950
2012-10-23;39771000;39727000;39922000;39589000;35300
2012-10-24;39545000;39769000;39843000;39524000;34210
2012-10-25;38992000;39379000;39454000;38992000;43000
2012-10-26;39170000;39005000;39313000;38950000;22930
2012-10-29;39136000;39096000;39260000;39063000;29760
2012-10-30;38986000;39113000;39217000;38964000;23080
2012-10-31;38842000;38850000;39005000;38739000;57630
2012-11-01;38795000;38810000;38974000;38795000;46100
2012-11-02;37526000;37874000;38033000;37498000;59150
2012-11-05;37727000;37239000;37845000;37239000;30990
2012-11-06;37695000;37727000;37905000;37512000;46230
2012-11-07;38090000;37783000;38122000;37575000;31150
2012-11-08;38560000;38032000;38560000;38013000;23290
2012-11-09;38671000;38561000;38679000;38372000;24760
2012-11-12;38862000;38671000;38894000;38566000;41910
2012-11-13;38522000;38752000;38843000;38515000;28500
2012-11-14;38771000;38474000;38940000;38461000;23960
2012-11-15;38691000;38984000;39065000;38660000;28760
2012-11-16;38571000;38583000;38625000;38316000;22580
2012-11-19;38332000;38483000;38622000;38242000;22550
2012-11-20;38510000;38323000;38537000;38184000;24470
2012-11-21;38387000;38518000;38580000;38272000;21610
2012-11-22;38322000;38344000;38410000;38257000;18230
2012-11-23;38171000;38322000;38425000;38114000;21450
2012-11-26;37790000;38243000;38262000;37782000;22360
2012-11-27;37689000;37777000;37862000;37608000;18730
2012-11-28;37579000;37613000;37732000;37415000;29710
2012-11-29;37820000;37745000;37862000;37693000;15950
2012-11-30;37782000;38001000;38018000;37752000;45540
2012-12-03;37927000;37794000;37927000;37578000;21900
2012-12-04;38210000;37902000;38210000;37789000;29900
2012-12-05;38569000;38210000;38705000;38210000;40540
2012-12-06;38569000;38559000;38662000;38453000;36300
2012-12-07;38380000;38644000;38660000;38380000;33520
2012-12-10;38669000;38484000;38767000;38353000;44500
2012-12-11;38937000;38625000;38937000;38581000;40400
2012-12-12;39108000;38841000;39313000;38646000;47170
2012-12-13;39119000;39304000;39381000;39057000;44110
2012-12-14;39221000;39223000;39461000;39205000;43160
2012-12-17;39363000;39137000;39530000;39131000;67400
2012-12-18;39339000;39621000;39645000;39234000;52370
2012-12-19;39859000;39584000;39859000;39534000;72580
2012-12-20;39968000;39913000;40071000;39786000;82890
2012-12-21;39678000;39749000;40027000;39427000;76820
2012-12-24;39971000;39725000;40022000;39657000;73070
2012-12-25;40134000;40101000;40172000;39809000;50850
2012-12-26;40610000;39943000;40610000;39831000;59620
2012-12-27;40997000;40832000;41068000;40658000;79450
2012-12-28;41373000;40949000;41373000;40832000;84320
2013-01-02;41835000;41550000;41905000;41441000;64290
2013-01-03;41927000;42068000;42068000;41368000;99830
2013-01-04;42606000;41875000;42648000;41750000;64850
2013-01-07;43419000;42853000;43464000;42686000;78320
2013-01-08;44716000;43725000;44716000;43715000;121100
2013-01-09;44877000;44716000;45775000;44226000;134770
2013-01-10;46012000;44799000;46012000;44408000;79400
2013-01-11;46269000;46839000;46916000;46174000;75120
2013-01-14;45897000;45808000;46208000;45551000;69550
2013-01-15;46142000;45924000;46142000;45593000;88780
2013-01-16;46525000;46217000;47034000;46217000;96570
2013-01-17;45676000;46566000;46655000;45676000;96330
2013-01-18;45416000;45821000;45982000;45028000;84210
2013-01-21;44779000;45391000;45634000;44779000;58680
2013-01-22;44285000;44901000;45080000;44124000;67330
2013-01-23;44337000;44396000;44779000;44048000;50660
2013-01-24;45240000;44434000;45240000;44419000;49810
2013-01-25;46809000;45528000;46809000;45525000;86460
2013-01-28;47960000;47427000;48567000;47427000;107360
2013-01-29;48401000;47802000;48434000;47633000;88110
