Date;Open;High;Low;Price;Vol.
2017-01-12;952.76;960.33;952.76;960.33;227.73K
2017-04-12;962.47;972.53;962.47;970.02;270.00K
2017-05-12;972.28;974.8;953.3;953.3;265.51K
2017-06-12;950.21;950.72;932.64;947.64;243.46K
2017-07-12;950.23;954.24;932.68;938.65;196.89K
2017-08-12;938.41;944.75;930.29;940.16;197.62K
2017-11-12;930.17;936.93;917.45;917.45;193.98K
2017-12-12;927.67;931.12;895.73;927.25;243.25K
12/13/2017;932.05;932.48;922.97;924.4;157.40K
12/14/2017;925.51;936.29;923.99;935.85;172.03K
12/15/2017;933.63;939.57;932.96;935.16;239.90K
12/18/2017;945.9;958.06;945.9;958.06;241.41K
12/19/2017;961.03;963.01;951.25;951.42;228.76K
12/20/2017;945.12;958.82;945.12;953.51;220.57K
12/21/2017;949.45;957.56;946.06;946.06;213.62K
12/22/2017;947.54;952.7;945.18;952.32;197.58K
12/25/2017;954.28;958.57;952.41;958.31;168.44K
12/26/2017;960.32;965.93;957.24;965.93;186.04K
12/27/2017;969.72;972.6;965.18;968.46;235.83K
12/28/2017;970.63;978.65;967.73;976.72;160.23K
12/29/2017;978.39;990.1;976.33;984.24;211.11K
2018-02-01;986.05;996.18;984.34;995.77;186.02K
2018-03-01;999.86;1,010.21;998.41;1,005.67;237.30K
2018-04-01;1,009.37;1,019.75;1,009.00;1,019.75;252.91K
2018-05-01;1,020.34;1,020.60;1,010.65;1,012.65;284.03K
2018-08-01;1,011.36;1,022.90;1,004.89;1,022.90;268.79K
2018-09-01;1,027.14;1,033.56;1,017.86;1,033.56;320.38K
2018-10-01;1,034.64;1,045.63;1,033.01;1,038.11;375.09K
2018-11-01;1,037.03;1,049.73;1,031.13;1,048.17;314.65K
2018-12-01;1,050.17;1,057.88;1,046.38;1,050.11;351.97K
1/15/2018;1,049.91;1,063.47;1,043.15;1,063.47;292.71K
1/16/2018;1,059.36;1,065.39;1,052.43;1,062.96;340.19K
